AccountName,FirstName,LastName,Email,Note,StartDate,ContentType,ContentId,ContentName,ContentDuration,LastViewDate,Year,Month,TotalHours,CompletionPercentage,Subjects
"acme SOUND, INC.",Seth,Bonser,seth_Bonser@acme.com,,12/15/2021,VideoCourse,google-cloud-platform-big-data-machine-learning-fundamentals-1,Google Cloud Platform Big Data and Machine Learning Fundamentals,4.930158136,3/10/2022,2022,3,1.883333333,0.460773392,Big data|Google Cloud Platform|Google Cloud Platform
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,jira-getting-started,Jira 8: Getting Started,2.625967037,3/29/2022,2022,3,0.553333333,0.279292393,Jira
"acme SOUND, INC.",Brendan,Patterson,brendan_Patterson@acme.com,,1/26/2022,VideoCourse,getting-started-docker,Getting Started with Docker,1.441037037,3/29/2022,2022,3,1.028611111,0.447722816,DevOps|Docker|Docker
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,istio-managing-apps-kubernetes,Managing Apps on Kubernetes with Istio,3.574169833,3/18/2022,2022,3,0.021666667,0.014481478,Configuration and deployment|Istio|Kubernetes|Kubernetes
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,pluralsight-live-2020-anthos,Run Your Application across Multiple Clouds with Anthos,0.260694444,3/18/2022,2022,3,0.260833333,1,Google Cloud Anthos|Multicloud architecture
"acme SOUND, INC.",Chris,Evans,chris_Evans@acme.com,,1/25/2022,VideoCourse,network-security-basics-cert,Network Security Basics,2.980962963,3/24/2022,2022,3,3.143055556,1,Network security
"acme SOUND, INC.",Chris,Rivers,chris_Rivers@acme.com,,7/20/2021,VideoCourse,google-cloud-platform-fundamentals-core-infrastructure,Google Cloud Platform Fundamentals - Core Infrastructure,3.298530972,3/25/2022,2022,3,0.316388889,0.10274724,Google Cloud Platform|Google Cloud Platform
"acme SOUND, INC.",Chris,Evans,chris_Evans@acme.com,,1/25/2022,VideoCourse,network-troubleshooting-tools-cert,Network Troubleshooting and Tools,3.823361111,3/31/2022,2022,3,2.708333333,1,Access network|Network engineering|Remote monitoring & management
"acme SOUND, INC.",Kiersten,Gibson,kiersten_Gibson@acme.com,,3/8/2022,VideoCourse,docker-deep-dive-update,Docker Deep Dive,4.594401089,3/8/2022,2022,3,4.583055556,1,Docker|Docker
"acme SOUND, INC.",Nate,Thompson,nate_Thompson@acme.com,,6/28/2021,VideoCourse,docker-deep-dive-update,Docker Deep Dive,4.594401089,3/15/2022,2022,3,0.448333333,0.097607555,Docker|Docker
"acme SOUND, INC.",Aaron,Dorris,aaron_Dorris@acme.com,,3/14/2022,VideoCourse,docker-deep-dive-update,Docker Deep Dive,4.594401089,3/20/2022,2022,3,4.663888889,0.977505646,Docker|Docker
"acme SOUND, INC.",Dean,Dunston,dean_Dunston@acme.com,,2/15/2022,VideoCourse,network-layer-addressing-subnetting,Network Layer Addressing and Subnetting,3.821493259,3/1/2022,2022,3,0.369444444,0.488206673,Cisco Systems|Network architecture|Network infrastructure
"acme SOUND, INC.",Eric,Dawson,eric_Dawson@acme.com,,3/28/2022,VideoCourse,consuming-rest-api-with-guzzle-php,Consuming a REST API with Guzzle and PHP,1.448154074,3/31/2022,2022,3,0.357777778,0.295090351,PHP|Rest API
"acme SOUND, INC.",Evan,Dunston,evan_Dunston@acme.com,,3/1/2022,VideoCourse,network-concepts-protocols-cert,Network Concepts and Protocols,5.058657409,3/29/2022,2022,3,1.831666667,0.996176376,Hypertext Transfer Protocol|Network engineering|OSI Model
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,application-programming-interface-executive-briefing,APIs- Application Programming Interface: Executive Briefing,0.515296296,3/23/2022,2022,3,0.612777778,1,API design
"acme SOUND, INC.",Charles,Vandenburg,charles_Vandenburg@acme.com,,11/12/2021,VideoCourse,querying-data-postgresql,Querying Data from PostgreSQL,1.478767407,3/31/2022,2022,3,0.580277778,0.954051819,Database query|PostgreSQL|SQL
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,getting-started-linux,Getting Started with Linux,1.734601759,3/30/2022,2022,3,0.562777778,0.656369553,Linux
"acme SOUND, INC.",Zachary,Prince,zachary_Prince@acme.com,,3/23/2022,VideoCourse,linux-host-security,Linux Host Security,4.264934876,3/28/2022,2022,3,3.7375,0.876717911,Linux
"acme SOUND, INC.",Nathan,Averson,nathan_Averson@acme.com,,6/28/2021,VideoCourse,project-communications-risks-managing,Managing Project Communications and Risks,1.993981003,3/17/2022,2022,3,1.327222222,0.784812698,Communication skills|CompTIA|Project management
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,infosec-manager-information-security-program-management,Information Security Manager: Information Security Program Management,4.154860549,3/25/2022,2022,3,0.343888889,0.686067886,ISACA|Security management
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,docker-kubernetes-big-picture,Docker and Kubernetes: The Big Picture,1.785524074,3/17/2022,2022,3,1.761944444,1,DevOps|Docker|Docker|Kubernetes|Kubernetes
"acme SOUND, INC.",Eric,Dawson,eric_Dawson@acme.com,,3/28/2022,VideoCourse,php-big-picture,PHP: The Big Picture,0.847201667,3/29/2022,2022,3,0.636944444,1,PHP
"acme SOUND, INC.",Robert,Tinker,robert_Tinker@acme.com,,7/30/2021,VideoCourse,django-fundamentals-update,Django Fundamentals,3.723666098,3/29/2022,2022,3,1.663333333,0.494828491,Django|Python|Web application|Web development
"acme SOUND, INC.",Chris,Evans,chris_Evans@acme.com,,1/25/2022,VideoCourse,network-management-operations-cert,Network Management and Operations,2.07475,3/9/2022,2022,3,2.559166667,1,Network administration|Network engineering|Policies & procedures
"acme SOUND, INC.",Chris,Evans,chris_Evans@acme.com,,1/25/2022,VideoCourse,network-enterprise-infrastructure-introduction-cert,Introduction to Enterprise Network Infrastructure,3.551685185,3/5/2022,2022,3,3.006388889,1,Network engineering|Network infrastructure|OSI Model
"acme SOUND, INC.",Nathan,Averson,nathan_Averson@acme.com,,6/28/2021,VideoCourse,developing-project-schedules-budgets,Developing Project Schedules and Budgets,2.038021705,3/3/2022,2022,3,0.866944444,1,CompTIA|Project management
"acme SOUND, INC.",Kelly,Frank,kelly_Frank@acme.com,,10/28/2021,VideoCourse,play-by-play-owasp-top-ten-2017,Play by Play: OWASP Top 10 2017,1.204908578,3/18/2022,2022,3,0.035277778,0.029301438,OWASP Top Ten
